id	line_id	line_id_inner	name	coordX	coordY	type	cities_id	status	owner_id	ways	latitude	longitude
1	1		Бульвар Рокоссовского	733	188	1	1	0		2	55.814461	37.73402
2	1		Черкизовская	757	212	1	1	0		2	55.803844	37.744694
3	1		Преображенская площадь	692	229	1	1	0		2	55.796104	37.715588
4	1		Сокольники	611	244	1	1	0		2	55.789284	37.679726
5	1		Красносельская	580	265	1	1	0		2	55.779964	37.666084
6	1		Комсомольская	558	276	1	1	0		2	55.775448	37.655964
7	1		Красные ворота	542	290	1	1	0		2	55.768875	37.649067
8	1		Чистые пруды	518	299	1	1	0		2	55.764904	37.638344
9	1		Лубянка	492	312	1	1	0		2	55.759342	37.62685
10	1		Охотный ряд	468	318	1	1	0		2	55.756706	37.615906
11	1		Библиотека имени Ленина	454	330	1	1	0		2	55.751389	37.609722
12	1		Кропоткинская	439	343	1	1	0		2	55.745346	37.603348
13	1		Парк культуры	418	365	1	1	0		2	55.735645	37.594002
14	1		Фрунзенская	388	384	1	1	0		2	55.727463	37.580502
15	1		Спортивная	350	393	1	1	0		2	55.723099	37.563766
16	1		Воробьёвы горы	340	422	1	1	0		2	55.710308	37.559219
17	1		Университет	285	462	1	1	0		2	55.692574	37.534542
18	1		Проспект Вернадского	219	498	1	1	0		2	55.676716	37.505573
19	1		Юго-Западная	169	527	1	1	0		2	55.663681	37.483196
20	2		Красногвардейская	757	639	1	1	0		2	55.613853	37.744473
21	2		Домодедовская	697	646	1	1	0		2	55.610634	37.718033
22	2		Орехово	644	640	1	1	0		2	55.613449	37.694496
23	2		Царицыно	588	623	1	1	0		2	55.621056	37.669456
24	2		Кантемировская	559	590	1	1	0		2	55.635803	37.656513
25	2		Каширская	541	546	1	1	0		2	55.655067	37.648666
26	2		Коломенская	575	495	1	1	0		2	55.677906	37.663727
27	2		Автозаводская	561	428	1	1	0		2	55.707748	37.657497
28	2		Павелецкая	515	376	1	1	0		2	55.730663	37.636787
29	2		Новокузнецкая	498	350	1	1	0		2	55.742382	37.629257
30	2		Театральная	472	313	1	1	0		2	55.758747	37.617695
31	2		Тверская	443	299	1	1	0		2	55.765038	37.605007
32	2		Маяковская	423	288	1	1	0		2	55.769936	37.596046
33	2		Белорусская	396	272	1	1	0		2	55.77692	37.584126
34	2		Динамо	338	243	1	1	0		2	55.789749	37.558189
35	2		Аэропорт	279	219	1	1	0		2	55.800671	37.5322
36	2		Сокол	242	209	1	1	0		2	55.804844	37.515484
37	2		Войковская	202	178	1	1	0		2	55.81879	37.498028
38	2		Водный стадион	177	131	1	1	0		2	55.839844	37.48682
39	2		Речной вокзал	153	97	1	1	0		2	55.855015	37.476139
40	3		Щёлковская	879	199	1	1	0		2	55.809608	37.798588
41	3		Первомайская	880	232	1	1	1		2	55.794617	37.799335
42	3		Измайловская	840	248	1	1	0		2	55.787731	37.781597
43	3		Партизанская	768	246	1	1	0		2	55.788437	37.749626
44	3		Семёновская	700	258	1	1	0		2	55.7831	37.719341
45	3		Электрозаводская	669	261	1	1	0		2	55.782024	37.705219
46	3		Бауманская	609	283	1	1	0		2	55.772366	37.678825
47	3		Курская	570	314	1	1	0		2	55.758183	37.661484
48	3		Площадь Революции	481	318	1	1	0		2	55.756542	37.621658
49	3		Арбатская	75	441	1	1	0		2		
50	3		Смоленская	75	450	1	1	0		2		
51	3		Киевская	355	348	1	1	0		2	55.743305	37.565807
52	3		Парк Победы	245	364	1	1	0		2	55.736301	37.517002
53	3		Славянский бульвар	75	477	1	1	0		2		
54	3		Кунцевская	85	376	1	1	0		2	55.730698	37.445919
55	3		Молодёжная	20	354	1	1	0		2	55.740807	37.416832
56	3		Крылатское	0	318	1	1	0		2	55.75679	37.408096
57	3		Строгино	202	205	1	1	0		2	55.806946	37.498055
58	3		Мякинино	75	522	1	1	0		2		
59	3		Волоколамская	471	320	1	1	0		2	55.755787	37.617634
60	3		Митино	97	56	1	1	0		2	55.872944	37.451054
61	4		Кунцевская	85	376	1	1	0		2	55.730698	37.445919
62	4		Пионерская	133	364	1	1	0		2	55.736027	37.467033
63	4		Филёвский парк	169	356	1	1	0		2	55.73954	37.483265
64	4		Багратионовская	202	347	1	1	0		2	55.743786	37.497715
65	4		Фили	240	342	1	1	0		2	55.746048	37.514874
66	4		Кутузовская	285	355	1	1	0		2	55.74004	37.534569
67	4		Студенческая	315	358	1	1	0		2	55.738907	37.548126
68	4		Киевская	355	348	1	1	0		2	55.743305	37.565807
69	4		Смоленская	100	621	1	1	0		2		
70	4		Арбатская	100	630	1	1	0		2		
71	4		Александровский сад	455	328	1	1	0		2	55.752258	37.610222
72	4		Выставочная	100	648	1	1	0		2		
73	4		Международная	281	337	1	1	0		2	55.748329	37.532825
74	5		Парк культуры	418	365	1	1	0		2	55.735645	37.594002
75	5		Октябрьская	459	377	1	1	0		2	55.730255	37.61224
76	5		Добрынинская	483	380	1	1	0		2	55.728992	37.622787
77	5		Павелецкая	515	376	1	1	0		2	55.730663	37.636787
78	5		Таганская	552	354	1	1	0		2	55.740425	37.653362
79	5		Курская	570	314	1	1	0		2	55.758183	37.661484
80	5		Комсомольская	558	276	1	1	0		2	55.775448	37.655964
81	5		Проспект Мира	507	264	1	1	0		2	55.78072	37.633446
82	5		Новослободская	434	266	1	1	0		2	55.779514	37.601166
83	5		Белорусская	396	272	1	1	0		2	55.77692	37.584126
84	5		Краснопресненская	381	310	1	1	0		2	55.760216	37.577251
85	5		Киевская	355	348	1	1	0		2	55.743305	37.565807
86	6		Медведково	570	24	1	1	1		2	55.887074	37.661388
87	6		Бабушкинская	576	63	1	1	0		2	55.869858	37.664242
88	6		Свиблово	550	96	1	1	0		2	55.855206	37.652699
89	6		Ботанический сад	518	118	1	1	0		2	55.845478	37.638409
90	6		ВДНХ	523	174	1	1	0		2	55.820732	37.640697
91	6		Алексеевская	519	203	1	1	0		2	55.807789	37.638718
92	6		Рижская	513	237	1	1	0		2	55.792484	37.636097
93	6		Проспект Мира	507	264	1	1	0		2	55.78072	37.633446
94	6		Сухаревская	505	283	1	1	0		2	55.772308	37.632507
95	6		Тургеневская	515	297	1	1	0		2	55.766014	37.636921
96	6		Китай-город	505	321	1	1	0		2	55.755367	37.632343
97	6		Третьяковская	489	354	1	1	0		2	55.740696	37.625576
98	6		Октябрьская	459	377	1	1	0		2	55.730255	37.61224
