"ID";"TPUName";"global_id";"AdmArea";"District";"NearStation";"YearOfComissioning";"Status";"AvailableTransfer";"CarCapacity";"geoData";
"96";"Транспортно-пересадочный узел «Сортировочная» (п)";"1769845";"Юго-Восточный административный округ";"район Лефортово";"платформа «Сортировочная»";"2014";"проект";"пригородная железная дорога";"";"{type=Point, coordinates=[37.720353256895, 55.764079610509]}";
"97";"Транспортно-пересадочный узел «Фрезер» (п)";"1769846";"Юго-Восточный административный округ";"Нижегородский район";"платформа «Фрезер»";"2014";"построен";"пригородная железная дорога";"45";"{type=Point, coordinates=[37.738276478479, 55.745110991584]}";
"98";"Транспортно-пересадочный узел «Чухлинка» (п)";"1769847";"Юго-Восточный административный округ";"Рязанский район";"платформа «Чухлинка»";"2014";"построен";"пригородная железная дорога";"";"{type=Point, coordinates=[37.764118656515, 55.733620469968]}";
"99";"Транспортно-пересадочный узел «Братиславская» (п)";"1769848";"Юго-Восточный административный округ";"район Марьино";"станция метро «Братиславская»";"2015";"построен";"метро; перехватывающая парковка";"320";"{type=Point, coordinates=[37.750696290051, 55.659640933555]}";
"100";"Транспортно-пересадочный узел «Волжская» (п)";"1769849";"Юго-Восточный административный округ";"район Люблино";"станция метро «Волжская»";"2014";"построен";"метро; перехватывающая парковка";"240";"{type=Point, coordinates=[37.755893879403, 55.690307373337]}";
"101";"Транспортно-пересадочный узел «Депо» (п)";"1769850";"Юго-Восточный административный округ";"район Печатники";"платформа «Депо»";"2014";"построен";"пригородная железная дорога";"45";"{type=Point, coordinates=[37.727992718718, 55.674043644599]}";
"102";"Транспортно-пересадочный узел «Дубровка» (п)";"1769851";"Юго-Восточный административный округ";"Южнопортовый район";"станция метро «Дубровка»";"2014";"проект";"метро";"";"{type=Point, coordinates=[37.676981310387, 55.717923102594]}";
"103";"Транспортно-пересадочный узел «Калитники» (п)";"1769852";"Юго-Восточный административный округ";"Нижегородский район";"платформа «Калитники»";"2014";"построен";"пригородная железная дорога";"";"{type=Point, coordinates=[37.702003415502, 55.734379763946]}";
"104";"Транспортно-пересадочный узел «Карачарово» (п)";"1769853";"Юго-Восточный административный округ";"Нижегородский район";"платформа «Карачарово»";"2014";"построен";"пригородная железная дорога";"";"{type=Point, coordinates=[37.739594461511, 55.732351042538]}";
"105";"Транспортно-пересадочный узел «Кожуховская» (п)";"1769854";"Юго-Восточный административный округ";"Южнопортовый район";"станция метро «Кожуховская»";"2014";"построен";"метро; перехватывающая парковка";"120";"{type=Point, coordinates=[37.68545068887, 55.706533523954]}";
"106";"Транспортно-пересадочный узел «Люблино» (п) (3)";"1769855";"Юго-Восточный административный округ";"район Печатники";"платформа «Люблино»";"2014";"построен";"пригородная железная дорога";"85";"{type=Point, coordinates=[37.733810000089, 55.685116000029]}";
"107";"Транспортно-пересадочный узел «Марьино» (к)";"1769856";"Юго-Восточный административный округ";"район Марьино";"станция метро «Марьино»";"2018";"проект";"Метро; перехватывающая парковка";"230";"{type=Point, coordinates=[37.744333999899, 55.650510000027]}";
"108";"Транспортно-пересадочный узел «Москва-Товарная-Павелецкая» (п)";"1769857";"Южный административный округ";"Даниловский район";"платформа «Москва-Товарная-Павелецкая»";"2014";"построен";"пригородная железная дорога";"";"{type=Point, coordinates=[37.643409867746, 55.717730529193]}";
"109";"Транспортно-пересадочный узел «Перерва» (п)";"1769858";"Юго-Восточный административный округ";"район Печатники";"платформа «Перерва»";"2014";"построен";"пригородная железная дорога";"113";"{type=Point, coordinates=[37.71757268363, 55.661816639065]}";
"110";"Транспортно-пересадочный узел «Печатники» (п)";"1769859";"Юго-Восточный административный округ";"район Печатники";"станция метро «Печатники»";"2015";"построен";"метро; перехватывающая парковка";"160";"{type=Point, coordinates=[37.727549594161, 55.693036631003]}";
"111";"Транспортно-пересадочный узел «Плющево» (п)";"1769860";"Юго-Восточный административный округ";"Рязанский район";"платформа «Плющево»";"2014";"проект";"пригородная железная дорога";"";"{type=Point, coordinates=[37.774168714165, 55.730588509651]}";
"112";"Транспортно-пересадочный узел «Профсоюзная» (п)";"1769861";"Юго-Западный административный округ";"Академический район";"станция метро «Профсоюзная»";"2015";"построен";"метро; перехватывающая парковка";"500";"{type=Point, coordinates=[37.563619002403, 55.678179794906]}";
"113";"Транспортно-пересадочный узел «Севастопольская»";"1769862";"Юго-Западный административный округ";"район Зюзино";"станция метро «Севастопольская»";"2014";"построен";"метро";"110";"{type=Point, coordinates=[37.598369121833, 55.651563145129]}";
"114";"Транспортно-пересадочный узел «Улица Скобелевская» (п)";"1769863";"Юго-Западный административный округ";"район Южное Бутово";"станция метро «Улица Скобелевская»";"2014";"построен";"метро";"80";"{type=Point, coordinates=[37.554059028741, 55.547978694352]}";
"115";"Транспортно-пересадочный узел «Улица Горчакова» (п)";"1769864";"Юго-Западный административный округ";"район Южное Бутово";"станция метро «Улица Горчакова»";"2014";"построен";"метро";"52";"{type=Point, coordinates=[37.531930344155, 55.542003977384]}";
"116";"Транспортно-пересадочный узел «Академическая» (п)";"1769865";"Юго-Западный административный округ";"Академический район";"станция метро «Академическая»";"2015";"построен";"метро; перехватывающая парковка";"260";"{type=Point, coordinates=[37.573083937002, 55.687492147998]}";
"117";"Транспортно-пересадочный узел «Беляево» (п)";"1769866";"Юго-Западный административный округ";"район Коньково";"станция метро «Беляево»";"2015";"построен";"метро; перехватывающая парковка";"275";"{type=Point, coordinates=[37.525107264077, 55.642288131956]}";
"118";"Транспортно-пересадочный узел «Бульвар адмирала Ушакова» (п)";"1769867";"Юго-Западный административный округ";"район Южное Бутово";"станция метро «Бульвар адмирала Ушакова»";"2014";"построен";"метро";"95";"{type=Point, coordinates=[37.545148649319, 55.545123200127]}";
"119";"Транспортно-пересадочный узел «Бунинская аллея» (п)";"1769868";"Юго-Западный административный округ";"район Южное Бутово";"станция метро «Бунинская аллея»";"2014";"проект";"метро";"";"{type=Point, coordinates=[37.514704642831, 55.537715657006]}";
"120";"Транспортно-пересадочный узел «Бутово» (п)";"1769869";"Юго-Западный административный округ";"район Южное Бутово";"платформа «Бутово»";"2014";"построен";"пригородная железная дорога";"50";"{type=Point, coordinates=[37.570690404674, 55.541704420575]}";
"121";"Транспортно-пересадочный узел «Калужская» (п)";"1769870";"Юго-Западный административный округ";"Обручевский район";"станция метро «Калужская»";"2015";"построен";"метро; перехватывающая парковка";"121";"{type=Point, coordinates=[37.541136860397, 55.65801065706]}";
"67";"Транспортно-пересадочный узел «Достоевская» (п)";"1769871";"Центральный административный округ";"Тверской район";"станция метро «Достоевская»";"2014";"построен";"метро";"";"{type=Point, coordinates=[37.612037337427, 55.781305766613]}";
"68";"Транспортно-пересадочный узел «Китай-город» (п)";"1769872";"Центральный административный округ";"Тверской район";"станция метро «Китай-город»";"2014";"построен";"метро";"10";"{type=Point, coordinates=[37.630689409811, 55.757086974263]}";
"69";"Транспортно-пересадочный узел «Краснопресненская» (п)";"1769873";"Центральный административный округ";"Пресненский район";"станция метро «Краснопресненская»";"2014";"построен";"метро";"83";"{type=Point, coordinates=[37.577201911283, 55.760700959747]}";
"70";"Транспортно-пересадочный узел «Красносельская» (п)";"1769874";"Центральный административный округ";"Красносельский район";"станция метро «Красносельская»";"2014";"построен";"метро";"";"{type=Point, coordinates=[37.665968007225, 55.779903750855]}";
